x          gamma      delta      altitude   cldfrc_rhminl   cldopt_rliqocean  hkconv_cmftau  cldfrc_rhminh  zmconv_tau
0.37       0.76      25.22      33.50     0.8236           18.12           12068          0.7922           21531
0.85       0.72       1.58      30.46     0.8448           16.37            5661          0.5457           19422
0.19       0.73       6.51      34.37     0.8538           10.70           13049          0.6204            7198
0.51       0.28      25.61      10.38     0.9078            8.50            8497          0.7449            1817
0.71       0.36      10.90       0.60     0.8615           13.90           13944          0.5222           25666
0.47       0.36      29.26      20.86     0.8430           15.07           13498          0.7008            7973
0.17       0.21      21.04      15.72     0.9792           13.30            8274          0.7750           13931
0.02       0.54      33.96      20.43     0.8647           15.70            8091          0.7904           16687
0.67       0.07      30.87      36.34     0.9628           13.50            4392          0.5153           16014
0.99       0.22      23.12      11.19     0.9407           14.99            7566          0.7349           19143
0.69       0.94      11.73      19.09     0.9891           15.45            1477          0.5794            3934
0.89       0.80       1.40      14.96     0.8227           13.24            2471          0.8362            4244
0.64       0.92       3.80       7.90     0.8812           18.02           12748          0.8384            8186
0.52       0.63      36.03      29.03     0.8052           11.97            9605          0.8097           15302
0.25       0.09      20.41      10.57     0.9164           19.57            1949          0.6409            8861
0.06       0.94      25.12      18.87     0.8637           10.73            7667          0.5181           27921
0.78       0.11      15.11      23.75     0.8055            8.48            7042          0.5646           24462
0.46       0.31      12.28      38.47     0.8864           12.23            9619          0.8079           18073
0.63       0.89       6.37       4.81     0.9211           12.33            2370          0.6275           24096
0.62       0.32      16.77      30.27     0.9344           12.80            1487          0.6819           15086
0.22       0.52      34.48       3.45     0.8611           16.01           13934          0.5927           19306
0.60       0.80      31.01      30.00     0.9544           11.90           12348          0.5371           25890
0.61       0.08       4.93      36.24     0.9855           10.83            4194          0.7832           24554
0.85       0.54       8.32      20.09     0.8127           12.61           10856          0.6917           20422
0.94       0.52       8.38      22.32     0.9814           13.12           13429          0.7841           25800
0.07       0.57      34.99      14.34     0.9742            9.92           12376          0.7122           10346
0.87       0.30      35.70      31.39     0.9244           16.58           13306          0.7989           14916
0.08       0.48      36.71       1.47     0.9238           15.94            3082          0.5884           25426
0.47       0.66      19.19      26.58     0.8766           18.27            2212          0.5596           27813
0.00       0.71       5.54      24.68     0.8849           15.40           11290          0.6257           18207
0.44       0.39      20.70      33.88     0.8140           18.67            8031          0.8421            7252
0.80       0.82      26.03      21.21     0.8295           10.64            8221          0.5655            6009
0.36       0.73      32.40      10.82     0.9798           16.98           14056          0.8003           18735
0.82       0.20      17.75       3.23     0.9325            8.79           12904          0.5734           13489
0.51       0.22      17.39      24.01     0.9148           15.23           13769          0.5802           16994
0.65       0.44       2.45      15.63     0.9441           13.57            9058          0.6120            7705
0.47       0.11       3.08       2.87     0.9013           14.77            6081          0.8305            5261
0.05       0.21       7.29       2.16     0.9101           16.10            9926          0.6830           17706
0.42       0.60       7.70       7.29     0.8994            9.62           13064          0.7023           25244
0.98       0.22      10.59      21.37     0.8543            8.55            8569          0.8408           20682
0.24       0.41      13.59       3.72     0.8063           10.04           10907          0.8279           12031
0.59       0.78      19.50      36.76     0.9461           19.51           11366          0.7287           25333
0.03       0.95       2.21      27.05     0.9863           11.56           12201          0.6709            6593
0.95       0.38       4.49       4.96     0.8048           18.51            1877          0.7858           15390
0.58       0.10       9.34      30.59     0.9556           17.14            6686          0.5982           25982
0.82       0.21      36.86      22.54     0.8563           11.51            4678          0.5497           22403
0.96       0.79      15.07      24.08     0.9137           11.94           14122          0.5827           17009
0.93       0.59      39.97       1.21     0.8169           17.70            6410          0.6902           17792
0.91       0.69      35.61       5.21     0.9311           12.13           10622          0.7054           13318
0.45       0.16       7.17      27.74     0.8158           16.91            4482          0.5087           19774
0.02       0.81      28.83      15.18     0.8968           10.99            4745          0.5893            6160
0.69       0.05      13.74      23.40     0.8186           14.19            2164          0.6417            3770
0.17       0.77      23.65       4.58     0.8742           19.30            9982          0.7012            5372
0.52       0.07      36.59       6.44     0.8392           11.50            9866          0.6172            8474
0.35       0.11      21.84      32.54     0.9263           19.35            2078          0.7947           16477
0.40       0.74      28.61      27.93     0.9395           14.03            8160          0.7369           10237
0.57       0.02      33.91       0.85     0.9189           13.34            3706          0.7788            9760
0.50       0.58       4.39      12.54     0.8146           13.66            6966          0.6616            2037
0.92       0.43      39.57      26.13     0.9651           19.12            1755          0.7101           28739
0.08       0.94      37.83      29.67     0.8326           15.55            3787          0.6558           16552
0.75       0.34      38.92      34.11     0.8215           19.19           10102          0.5399           19523
0.58       0.94      35.95      12.66     0.9895            9.94            6254          0.6605            4144
0.94       0.45      12.01      31.82     0.9677           17.17            4963          0.5215            7463
0.75       0.99       9.97      37.05     0.9084           18.81            5260          0.7243           11111
0.73       0.54      14.79       1.35     0.9156           18.18            1383          0.7357            6976
0.33       0.67      23.51      26.43     0.9575            8.62           11972          0.5136           10609
0.54       0.75      10.32       8.10     0.9471           18.29            7732          0.5722           28138
0.94       0.01      35.14      14.78     0.8463           19.56            8451          0.7433            3881
0.21       0.27       0.18      37.87     0.9711            9.23            4327          0.6269           12073
0.69       0.49      32.71       6.65     0.9007           19.40            9031          0.5403           14634
0.05       0.42      18.48      36.54     0.9519           14.81           14203          0.7663            7321
0.06       0.05       4.28      17.89     0.9718           15.67            2493          0.7384            4812
0.57       0.83      19.35      33.38     0.8806            9.33            6108          0.8117           24748
0.31       0.14      26.48      29.13     0.8069           12.05            3888          0.7377           25588
0.20       0.98       9.91      10.80     0.8965           17.56            8627          0.7752           23710
0.08       0.15      37.54      37.54     0.9129           10.39           13134          0.8392           22819
0.34       0.56       9.02      22.24     0.8621           17.98            1062          0.8201            2326
0.60       0.87       0.87      27.08     0.8102            9.29           10699          0.8148            7101
0.79       0.24      19.78      23.40     0.9803           13.53           10990          0.7761            3427
0.12       0.34      22.37      29.46     0.8414            9.14           13217          0.6163           21105
0.34       0.03      24.65      23.00     0.9681            8.93            7029          0.5916           11485
0.24       0.18       5.12       2.56     0.9727           11.83            4236          0.6435           28450
0.26       0.86      28.79       3.46     0.8828           10.92            2009          0.7634           22033
0.33       0.96       1.75      36.14     0.8218           16.40            3548          0.8484           17653
0.12       0.17       3.27      35.94     0.8589           17.63           14021          0.5615            3040
0.74       0.75      39.44      20.75     0.8442           19.23           12946          0.7712            3545
0.01       0.13       6.57      25.91     0.8473           19.11           12605          0.6592           21644
0.83       0.81       2.11      32.70     0.9602            8.89            4436          0.8281            6100
0.89       0.92      15.46      29.78     0.8391           18.93           12659          0.5753            9624
0.23       0.70      34.75      38.15     0.9355            9.59            5613          0.5773           27297
0.91       0.03       5.99       2.43     0.9619           14.11           13564          0.5940           26650
0.57       0.12      22.19       5.71     0.8984           18.85           13392          0.7297           22876
0.01       0.52      13.37      12.10     0.8696           18.80            1012          0.8431           20338
0.67       0.20      11.97       7.00     0.8095           12.74            4941          0.7725           28719
0.27       0.65      13.24       4.29     0.8319            9.03            2520          0.5357           16800
0.98       0.14       0.40      17.66     0.8405           19.03            7523          0.5069           28043
0.82       0.00       5.68      28.72     0.8904           12.10           11830          0.6736           26046
0.80       0.47      39.21      24.84     0.8845           18.43            1594          0.5557           15651
0.79       0.89      30.61      19.58     0.8765           16.44            8121          0.7698           25163
0.68       0.73      39.36      13.37     0.8893            9.72            1326          0.5166            4616
0.51       0.00      34.71      20.02     0.8013            9.41           12213          0.8214           16872
0.36       0.46      38.48      36.98     0.8571           10.26           13597          0.6061            4028
0.74       0.50      20.68      11.52     0.9704           10.74            4565          0.5631           28388
0.84       0.51      27.34       7.55     0.9791           11.60            1604          0.7866            5815
0.28       0.14      30.38       6.83     0.9744           16.26            9079          0.5267            5614
0.43       0.76      25.88       1.71     0.9433           16.96            1402          0.5205            7520
0.16       0.37       1.14       8.62     0.8246           17.72             973          0.6007           13989
0.98       0.82      24.55      24.94     0.8502           11.33            1550          0.6566           17188
0.42       0.99      12.77       2.62     0.9197           11.44           14304          0.7086            9232
0.38       0.95      37.19       2.31     0.8344           11.69            3496          0.8360            2996
0.90       0.91      38.61      35.51     0.9722           16.20            7402          0.5903            8319
0.72       0.03      37.42       0.26     0.9753           15.10            9762          0.5428           23594
0.25       0.36       5.78       4.49     0.8381           17.60           11737          0.5021           13190
0.59       0.15      34.28       8.72     0.9694           11.23           12399          0.8254           18882
0.10       0.10       0.28      18.56     0.8567            9.88            7893          0.7529           19916
0.16       0.96      36.22      37.34     0.8862           11.19           12110          0.7817           19973
0.16       0.64      31.22      33.07     0.8073            9.85            2296          0.7795            2466
0.77       0.90      11.59      10.34     0.9527            8.63            4038          0.8416           25049
0.48       0.74      34.55       5.28     0.8108           10.22           10380          0.5031           17921
0.80       0.48       6.26      37.24     0.8314           18.68            2196          0.5018            5029
0.92       0.97      15.71       1.94     0.8192           14.61            9351          0.6289           11148
0.58       0.03      37.63      33.26     0.9833           18.08            2779          0.5960            3395
0.98       0.30      31.17      29.23     0.9460            8.82           11450          0.5123           18417
0.91       0.44       4.74      38.28     0.9873           18.77            6896          0.8224           19559
0.54       0.74       0.66      31.91     0.9564           16.71           14278          0.6423           14733
0.55       0.63       3.53      36.83     0.8028           13.73           12317          0.8123           28188
0.97       0.02      22.06      27.25     0.8122           18.52            4290          0.6951           24013
0.27       0.40       4.60      15.39     0.9533            9.04           12736          0.5093           26415
0.91       0.72      19.73       7.66     0.9782           19.02           11100          0.5175            2141
0.73       0.16      12.99      33.69     0.8008           11.71            9532          0.8455            3123
0.47       0.45      24.23       4.20     0.9886           17.86            4608          0.7621           27539
0.02       0.42      17.05      34.87     0.9841           17.21            2934          0.5431           18571
0.91       0.04       2.74       8.56     0.9705           10.07            5473          0.7600           20056
0.62       0.97       4.85      28.41     0.9597           14.71            1910          0.5527           26547
0.01       0.20      21.81      13.56     0.9425            8.78            1861          0.8014           26343
0.27       0.26      25.51       1.80     0.8207           16.39            5015          0.7479            3650
0.87       0.97      17.16       9.92     0.8133            9.09            9417          0.7540           26904
0.32       0.01      38.03      31.47     0.8732           18.38           11503          0.7075           21222
0.93       0.64       2.04      24.20     0.8112           19.43            8374          0.7873            9026
0.66       0.72      28.15      31.63     0.9114            9.18           13825          0.8343            4359
0.89       0.56       0.03      35.80     0.8289            8.72            1292          0.6357           26780
0.54       0.09       7.87      37.17     0.9206           10.36           13249          0.6333            5475
0.04       0.93      33.17      21.03     0.8119           17.55           12997          0.5515            9553
0.16       0.84      29.01      24.46     0.9756           18.71           12129          0.5485           24357
0.22       0.61       1.23      15.93     0.9657           15.15            8736          0.8497            8607
0.70       0.19      36.27      35.25     0.9595           11.88            2736          0.7970           23038
0.88       0.03      11.40       3.19     0.8718           14.57            6675          0.5440            6918
0.10       0.10      11.16      26.05     0.9810           18.34           10145          0.7677           24046
0.77       0.90      37.92      36.06     0.9839            9.34            2356          0.7702            5298
0.03       0.95       1.67      15.35     0.8090            9.67            8524          0.5415            4105
0.97       0.23      36.99      29.97     0.8776           10.57            3360          0.6840            3727
0.97       0.56      28.35       2.68     0.8275           13.93           11949          0.8476            5751
0.65       0.98      33.80       1.25     0.8855           15.86            3427          0.5194           27072
0.03       0.93      14.08      14.58     0.8023           11.35           12559          0.8035           22277
0.92       0.66       2.53       1.07     0.9225           17.66           14365          0.7569           22178
0.03       0.70       4.12      34.70     0.9347           10.24            6578          0.7031           26317
0.00       0.46      32.58      17.18     0.9671           18.15            5998          0.7502            2370
0.09       0.85       1.31       4.79     0.9693           11.31            1223          0.6549            2819
0.19       0.19      29.24      28.29     0.8154           15.73            6219          0.5327            7620
0.07       0.07      19.94      18.18     0.8580           10.85            1104          0.5104           27109
0.71       0.18      39.02       0.21     0.8887            8.95            4507          0.7143           26202
0.17       0.26       4.08       5.83     0.9216           11.01           13790          0.6012            1893
0.02       0.91      11.26      29.53     0.8017           17.32            1132          0.5844           20601
0.81       0.76      35.51      35.72     0.8304           18.40            2642          0.8192           11243
0.95       0.77      37.11      27.47     0.8150           13.27           13879          0.6393           15253
0.93       0.40      32.11      32.19     0.9612           18.05            9500          0.5589           27611
0.96       0.96       2.68       7.15     0.9823            9.46            6773          0.5239            8762
0.09       0.06      35.29      13.94     0.9043           12.82           14138          0.5285           28567
0.25       0.14       2.95      38.88     0.8179           17.42            3302          0.8040           18511
0.86       0.08       9.75       0.38     0.8497            9.54           14233          0.7314           22729
0.99       0.91      18.73      38.41     0.9770            8.69            8715          0.6794           24971
0.73       0.82       3.58       9.38     0.8535           18.62            1200          0.7061           27660
0.06       0.89       0.77       9.48     0.9875           19.31           10670          0.5279            5532
0.93       0.02      11.53      12.47     0.9536           18.91            4844          0.8373            5076
0.32       0.87      16.59      38.08     0.9123           12.42            3729          0.5688            3289
0.05       0.53      38.21       7.38     0.8489            8.71           11394          0.6944            4478
0.88       0.09      18.30      31.75     0.8531           19.28           13687          0.6188            6832
0.13       0.77       3.69      38.92     0.8083           15.81           12500          0.7809            2734
0.99       0.60       3.90      26.63     0.8242            9.13           11265          0.5316            2670
0.09       0.35      37.31       0.95     0.9827           11.16             906          0.6047           12608
0.05       0.12      22.65      37.93     0.9305            9.44            5699          0.8243            9985
0.21       0.47      39.78       6.22     0.8271           19.48            6451          0.6804           28002
0.45       0.67      38.71      35.55     0.8000            8.43            3614          0.6386           23300
0.96       0.04       6.07      35.20     0.9735            9.98            1662          0.5600           15011
0.76       0.50      38.35       4.07     0.9860            9.69           12805          0.5292            2026
0.08       0.87      29.66       2.05     0.9616           10.03           11557          0.7323           26862
0.83       0.84      31.61      11.85     0.8033           18.57            4757          0.5113            2207
0.04       0.01       9.06       5.03     0.8455           19.06           13664          0.8467            7872
0.75       0.96      23.02      21.94     0.9847           19.45           11187          0.8269            7402
0.36       0.04       5.24       3.59     0.9367           19.16            2631          0.5149           22339
0.50       0.82       8.71      25.02     0.8470           14.66           11808          0.5006           27771
0.12       0.79      28.33      35.37     0.9452           17.83            1041          0.8136           28280
1.00       0.10      38.16      34.23     0.8820           10.95           14008          0.8087           28581
0.12       0.29      36.53      38.74     0.9778           17.90           13331          0.5252            4763
0.58       0.51      10.27       3.79     0.8634            8.58            2129          0.7916           10390
